                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.16601,                0.14535,                0.79769,                0.99754,                0.98973,                0.99462,                0.98781,                0.12635,                0.11051,                0.77929,               0.003763,               0.003763,               0.003763
                     65,                0.16495,                0.14353,                0.79616,                0.99755,                0.98975,                 0.9946,                0.98785,                0.12408,                0.11009,                0.77809,               0.003664,               0.003664,               0.003664
                     66,                0.16422,                0.14339,                0.79522,                0.99754,                0.99193,                 0.9946,                0.98775,                0.12075,                0.10924,                0.77654,               0.003565,               0.003565,               0.003565
                     67,                0.16016,                0.14012,                 0.7925,                0.99667,                0.99076,                0.99463,                0.98808,                0.12163,                0.10877,                0.77676,               0.003466,               0.003466,               0.003466
                     68,                  0.159,                 0.1392,                0.79566,                0.99853,                0.98831,                0.99462,                0.98802,                0.11981,                0.10718,                 0.7756,               0.003367,               0.003367,               0.003367
                     69,                0.15888,                0.13905,                0.79474,                0.99897,                0.98736,                0.99459,                0.98821,                0.12135,                0.10585,                0.77719,               0.003268,               0.003268,               0.003268
                     70,                0.15723,                0.13803,                0.79415,                0.99929,                0.98741,                0.99456,                0.98799,                0.12125,                0.10491,                0.77705,               0.003169,               0.003169,               0.003169
                     71,                0.15486,                0.13573,                0.79196,                0.99751,                0.98861,                0.99453,                0.98761,                0.12033,                0.10423,                0.77621,                0.00307,                0.00307,                0.00307
                     72,                0.15373,                0.13563,                0.79333,                0.99767,                0.98914,                0.99481,                0.98821,                0.12029,                0.10457,                0.77602,               0.002971,               0.002971,               0.002971
                     73,                0.15206,                0.13393,                0.79081,                0.99777,                0.98972,                0.99484,                0.98819,                0.11948,                0.10509,                0.77572,               0.002872,               0.002872,               0.002872
                     74,                0.15123,                0.13189,                0.78919,                0.99803,                0.98939,                0.99476,                0.98843,                0.11853,                0.10342,                0.77518,               0.002773,               0.002773,               0.002773
                     75,                0.15166,                0.13122,                0.79282,                0.99763,                0.98981,                0.99479,                0.98845,                0.11775,                0.10188,                0.77487,               0.002674,               0.002674,               0.002674
                     76,                0.14847,                0.12974,                0.78979,                0.99823,                0.98988,                0.99458,                0.98861,                0.11687,                0.10133,                0.77412,               0.002575,               0.002575,               0.002575
                     77,                0.14861,                0.12942,                0.78928,                0.99648,                0.99048,                0.99458,                0.98897,                0.11622,                0.10113,                0.77373,               0.002476,               0.002476,               0.002476
                     78,                0.14523,                0.12717,                0.78991,                0.99648,                0.99007,                0.99443,                0.98896,                0.11509,                0.10085,                0.77378,               0.002377,               0.002377,               0.002377
                     79,                0.14331,                0.12653,                0.78913,                0.99926,                0.98831,                0.99454,                0.98887,                0.11573,                 0.1001,                 0.7734,               0.002278,               0.002278,               0.002278
                     80,                0.14242,                0.12574,                0.78876,                0.99872,                0.98781,                0.99454,                0.98885,                0.11581,                 0.0999,                 0.7735,               0.002179,               0.002179,               0.002179
                     81,                0.14209,                0.12428,                 0.7877,                0.99831,                0.98875,                0.99453,                0.98866,                0.11509,                0.09975,                0.77342,                0.00208,                0.00208,                0.00208
                     82,                0.13996,                0.12311,                0.78864,                0.99663,                 0.9907,                0.99441,                0.98885,                0.11467,                0.09917,                0.77351,               0.001981,               0.001981,               0.001981
                     83,                0.13697,                 0.1215,                 0.7873,                 0.9965,                 0.9902,                0.99417,                0.98851,                0.11481,                0.09887,                0.77364,               0.001882,               0.001882,               0.001882
                     84,                0.13585,                0.12091,                0.78603,                0.99688,                0.98974,                 0.9944,                0.98898,                0.11393,                0.09853,                0.77362,               0.001783,               0.001783,               0.001783
                     85,                0.13477,                0.11993,                0.78593,                0.99667,                0.99036,                0.99442,                0.98878,                0.11301,                0.09818,                0.77333,               0.001684,               0.001684,               0.001684
                     86,                0.13453,                0.11944,                0.78492,                0.99699,                0.98989,                0.99443,                0.98912,                0.11238,                0.09804,                0.77318,               0.001585,               0.001585,               0.001585
